il,ad,kategori,etiketler,puan,yorum_sayisi,adres,telefon,fiyat,enlem,boylam,maps_url,foto_url,not
Adana,Kaya Kebap,Kebap Restoranı,Kebap,4.9,20340,"Hurmalı, 34006. Sk. No:6, 01060 Seyhan/Adana",+90 322 436 76 66,2,36.989631,35.319921,https://maps.google.com/?cid=8119886891702572188,,
Adana,Şendoğan Kebap ve Lahmacun Salonu,Kebap Restoranı,Kebap|Lahmacun & Pide,4.7,1252,"Subaşılar Sitesi, Yeşilyurt, 71181. Sk. No:29/D Altı, 01150 Seyhan/Adana",+90 322 226 19 26,2,37.0276192,35.3020784,https://maps.google.com/?cid=8624495724687370202,,
Adana,Müze Kebap Hastat,Restoran,Kebap,4.9,870,"Yeşiloba, 46253 sok No.21, 01100 Seyhan/Adana",+90 553 841 86 62,2,36.9864635,35.25499250000001,https://maps.google.com/?cid=6549149153499005333,,
Adana,Pote | Gazipaşa,Restoran,Lokanta,4.5,1555,"Cemalpaşa, Bahar Cd. No:6, 01030 Seyhan/Adana",+90 542 175 15 15,2,37.000607699999996,35.3287147,https://maps.google.com/?cid=15204111821186594282,,
Adana,Öz Asmaaltı Kebap Salonu,Kebap Restoranı,Kebap,4.3,2080,"Kuruköprü, Pazarlar Cd. No:11, 01060 Seyhan/Adana",+90 322 351 17 75,2,36.986111099999995,35.3247222,https://maps.google.com/?cid=15037642706838920440,,
Adana,Şen Çorba Salonu,Restoran,Çorba,4.6,1071,"Sucuzade, 30101. Sk. No:38A, 01030 Seyhan/Adana",+90 322 359 83 38,1,36.9823658,35.3227725,https://maps.google.com/?cid=9449432925591461095,,
Adana,Faris Lokantası,Restoran,Sulu Yemek,4.5,898,"Yeşilyurt, 01140 Seyhan/Adana",+90 322 226 44 71,2,37.0122715,35.3053494,https://maps.google.com/?cid=13466686323135135404,,
Adıyaman,Ziyaoğlu Adana Ocakbaşı,Restoran,Kebap,4.5,844,"Yenipınar Erdem Caddesi 311. Sokak, Yenipınar, 311. Sk. No:17 No:18, 02100 Adıyaman Merkez/Adıyaman",+90 416 213 37 17,2,37.7615359,38.2784451,https://maps.google.com/?cid=147354925574458959,,
Adıyaman,Kudr Et Restoran Adıyaman,Restoran,Lokanta,4.7,391,"Altınşehir mah. Eski Besni cad, güloğlu pastanesi arkası, Altınşehir, 3026. Sk. no16, 02200 Adıyaman Merkez/Adıyaman",+90 416 202 20 00,2,37.7384001,38.230852,https://maps.google.com/?cid=6044729640757904727,,
Adıyaman,Çiğköfteci Fehmi Usta ve Ev Yemekleri,Türk restoranı,Köfte|Sulu Yemek,4.8,314,"Barbaros Hayrettin, Karapınar Cd. No:50, 02040 Adıyaman Merkez/Adıyaman",+90 530 300 40 01,1,37.76047390000001,38.2551546,https://maps.google.com/?cid=16260398586990430610,,
